102,67778,C  ,Online,"Dutton, M;Figueroa Diaz, J;Yarrington, K",SPAN,Spanish,2023,Fall 2023
500,45906,C  ,Online,"Leman, A",AGED,Agricultural Education,2023,Fall 2023
251,68926,C  ,Studio,"Strickland, H",ARTD,Art--Design,2023,Fall 2023
101,59025,B30,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
199,53733,,Independent Study,,LER,Labor and Employment Relations,2023,Fall 2023
201,38767,B  ,Lecture-Discussion,"Davies Brenier, L;Kustova, M",RUSS,Russian,2023,Fall 2023
101,32542,A  ,Lecture-Discussion,"Ashworth, E;Dixon, D;Richardson, P",MILS,Military Science,2023,Fall 2023
281,71417,AD3,Discussion/Recitation,"Bozzi Feijo, B;Burgos, A",AAS,Asian American Studies,2023,Fall 2023
100,33293,A1 ,Laboratory,"Bein, D",KIN,Kinesiology,2023,Fall 2023
100,58318,AD8,Discussion/Recitation,"Kabaoglu, A",PS,Political Science,2023,Fall 2023
211,72844,B  ,Lecture-Discussion,"Virudachalam, V",BADM,Business Administration,2023,Fall 2023
492,10306,,Independent Study,,GRK,Greek,2023,Fall 2023
199,10431,,Independent Study,,HUM,Humanities Courses,2023,Fall 2023
221,37408,ADL,Discussion/Recitation,"Kathiresan, P;Raskie, S",FIN,Finance,2023,Fall 2023
199,10282,,Independent Study,,UKR,Ukrainian,2023,Fall 2023
220,39322,B  ,Lecture-Discussion,"Roberts, O",ENVS,Environmental Studies,2023,Fall 2023
116,76951,I  ,Laboratory,"Lim, S",DANC,Dance,2023,Fall 2023
102,78564,KY ,Online,"Dutton, M;Figueroa Diaz, J;Yarrington, K",SPAN,Spanish,2023,Fall 2023
101,51460,B31,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
251,75045,D  ,Studio,"Robinson, S",ARTD,Art--Design,2023,Fall 2023
101,32546,B  ,Lecture-Discussion,"Ashworth, E;Dixon, D;Richardson, P",MILS,Military Science,2023,Fall 2023
199,70463,IR2,Lecture-Discussion,"Leroy, M",LER,Labor and Employment Relations,2023,Fall 2023
103,70214,A  ,Online,"Miller, J",NRES,Natural Resources and Environmental Sciences,2023,Fall 2023
281,75269,AD4,Discussion/Recitation,"Burgos, A;Garcia Rojas, M",AAS,Asian American Studies,2023,Fall 2023
100,58872,AD9,Discussion/Recitation,"Kabaoglu, A",PS,Political Science,2023,Fall 2023
100,33310,A2 ,Laboratory,"Bein, D",KIN,Kinesiology,2023,Fall 2023
111,30033,A  ,Lecture,"Solomon, J",CLCV,Classical Civilization,2023,Fall 2023
211,72845,C  ,Lecture-Discussion,"Gao, Y",BADM,Business Administration,2023,Fall 2023
221,71880,AL1,Online,"Raskie, S",FIN,Finance,2023,Fall 2023
510,40243,A  ,Lecture-Discussion,"Ochs, G",AGED,Agricultural Education,2023,Fall 2023
101,51447,B32,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
116,77001,J  ,Laboratory,"Lim, S;Tecza, A",DANC,Dance,2023,Fall 2023
102,78565,KY2,Online,"Dutton, M;Trybulec, E;Yarrington, K",SPAN,Spanish,2023,Fall 2023
101,41854,C  ,Lecture-Discussion,"Ashworth, E;Dixon, D;Richardson, P",MILS,Military Science,2023,Fall 2023
220,40181,A  ,Lecture,"Cooper, D",RUSS,Russian,2023,Fall 2023
100,32817,AL1,Lecture,"Kourtikakis, K",PS,Political Science,2023,Fall 2023
211,72846,D  ,Lecture-Discussion,"Gao, Y",BADM,Business Administration,2023,Fall 2023
390,10432,,Independent Study,,HUM,Humanities Courses,2023,Fall 2023
100,74591,B1 ,Laboratory,"North, J",KIN,Kinesiology,2023,Fall 2023
493,10313,,Independent Study,,GRK,Greek,2023,Fall 2023
281,75272,AD5,Discussion/Recitation,"Burgos, A;Vitale, S",AAS,Asian American Studies,2023,Fall 2023
221,37403,ONL,Online,"Raskie, S",FIN,Finance,2023,Fall 2023
101,51449,B33,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
299,10084,,Independent Study,,ENVS,Environmental Studies,2023,Fall 2023
116,77004,K  ,Laboratory,"Amiri, B",DANC,Dance,2023,Fall 2023
201,54319,A  ,Lecture-Discussion,"Sobol, V",UKR,Ukrainian,2023,Fall 2023
101,41855,E  ,Lecture-Discussion,"Ashworth, E;Richardson, P",MILS,Military Science,2023,Fall 2023
270,66148,A  ,Studio,"Pridemore, J",ARTD,Art--Design,2023,Fall 2023
211,72864,E  ,Lecture-Discussion,"Virudachalam, V",BADM,Business Administration,2023,Fall 2023
