CourseNum,CRN,Section,SectionType,Professors,DepartmentCode,Department,Year,Semester
177,70502,SL2,Discussion/Recitation,"Chen, Y",ENG,Engineering,2024,Spring 2024
317,70432,1  ,Studio,"Pridemore, J",ARTD,Art--Design,2024,Spring 2024
116,74253,K  ,Laboratory,"Henss, J",DANC,Dance,2024,Spring 2024
100,34278,ADD,Discussion/Recitation,"Dill, B;Leach, V",SOC,Sociology,2024,Spring 2024
301,71728,M  ,Lecture-Discussion,"Kurtz, J",BUS,Business,2024,Spring 2024
211,70081,I  ,Lecture-Discussion,"Haksoz, C",BADM,Business Administration,2024,Spring 2024
105,32923,B1 ,Lecture-Discussion,"Cottingham, M",RHET,Rhetoric and Composition,2024,Spring 2024
283,34129,A  ,Lecture-Discussion,"Espiritu, A",AAS,Asian American Studies,2024,Spring 2024
105,68698,A  ,Lecture-Discussion,"Brosseder, C",HIST,History,2024,Spring 2024
303,68556,AL ,Lecture,"Pahre, J",LAW,Law,2024,Spring 2024
177,70503,SR2,Discussion/Recitation,"Mamaril, N",ENG,Engineering,2024,Spring 2024
410,54725,U3 ,Lecture-Discussion,"Saeedi, A",TRST,Translation Studies,2024,Spring 2024
302,67333,A  ,Lecture-Discussion,"Rhodes, J",NEUR,Neuroscience,2024,Spring 2024
450,29888,A  ,Lecture-Discussion,"Ochs, G",AGED,Agricultural Education,2024,Spring 2024
293,74501,,Independent Study,,ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
317,75845,2  ,Studio,"Pridemore, J",ARTD,Art--Design,2024,Spring 2024
104,34716,D  ,Lecture-Discussion,"Hill, L",ITAL,Italian,2024,Spring 2024
301,71729,N  ,Lecture-Discussion,"Kurtz, J",BUS,Business,2024,Spring 2024
100,34280,ADE,Discussion/Recitation,"Dill, B;Kaiser, A",SOC,Sociology,2024,Spring 2024
222,75600,A  ,Lecture-Discussion,"Best, J",GGIS,Geography & Geographic Information Science,2024,Spring 2024
202,37944,E  ,Lecture-Discussion,"Gasyna, G;Romaniuk, A",POL,Polish,2024,Spring 2024
211,70082,J  ,Lecture-Discussion,"Liu, Z",BADM,Business Administration,2024,Spring 2024
105,33423,B10,Online,"Weber, R",RHET,Rhetoric and Composition,2024,Spring 2024
407,31903,C1 ,Online,"Dean, S",CI,Curriculum and Instruction,2024,Spring 2024
177,70504,SS2,Discussion/Recitation,"Forman, G",ENG,Engineering,2024,Spring 2024
301,71730,O  ,Lecture-Discussion,"Keating, K",BUS,Business,2024,Spring 2024
201,43185,S  ,Lecture-Discussion,"Cornell, M",MDVL,Medieval Studies,2024,Spring 2024
131,31826,DP ,Laboratory,"Ciofalo, T;Harrington, A;Miguens, M",DANC,Dance,2024,Spring 2024
100,34287,ADI,Discussion/Recitation,"Dill, B;Rodriguez-Reyes, M",SOC,Sociology,2024,Spring 2024
105,43466,B2 ,Lecture-Discussion,"Johnson, A",RHET,Rhetoric and Composition,2024,Spring 2024
407,31904,C2 ,Online,"McClellan, A",CI,Curriculum and Instruction,2024,Spring 2024
211,70083,K  ,Lecture-Discussion,"Khandelwal, A",BADM,Business Administration,2024,Spring 2024
120,34082,AD1,Discussion/Recitation,"Jiang, Y;Wilson, R",HIST,History,2024,Spring 2024
286,32112,P  ,Lecture-Discussion,"Chatterjee, D",AAS,Asian American Studies,2024,Spring 2024
305,70541,A  ,Lecture,"McDade, T",LAW,Law,2024,Spring 2024
301,71731,P  ,Lecture-Discussion,"Noonan, J",BUS,Business,2024,Spring 2024
405,40314,GRD,Lecture-Discussion,"Dolcos, F",NEUR,Neuroscience,2024,Spring 2024
430,57114,A  ,Lecture-Discussion,"Wang, Y",TRST,Translation Studies,2024,Spring 2024
326,72112,2  ,Lecture,"Araujo de Aguiar, C;Gao, Y",ARTD,Art--Design,2024,Spring 2024
295,74502,,Independent Study,,ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
199,10459,,Independent Study,,ITAL,Italian,2024,Spring 2024
223,75608,AL1,Lecture-Discussion,"Jefferson, B",GGIS,Geography & Geographic Information Science,2024,Spring 2024
100,34288,ADJ,Discussion/Recitation,"Dill, B;Kaiser, A",SOC,Sociology,2024,Spring 2024
105,39340,B3 ,Lecture-Discussion,"Charity, H",RHET,Rhetoric and Composition,2024,Spring 2024
407,31905,C3 ,Online,"Lane, M",CI,Curriculum and Instruction,2024,Spring 2024
211,70084,L  ,Lecture-Discussion,"Bahrini, A",BADM,Business Administration,2024,Spring 2024
120,34083,AD2,Discussion/Recitation,"Hsieh, P;Wilson, R",HIST,History,2024,Spring 2024
